INFO 2023-09-12 16:40:55,247 autoreload 17096 14752 Watching for file changes with StatReloader
INFO 2023-09-12 16:40:59,429 basehttp 17096 14400 "GET / HTTP/1.1" 200 271
INFO 2023-09-12 16:41:03,974 basehttp 17096 14400 "GET /about/ HTTP/1.1" 200 198
INFO 2023-09-12 16:41:10,695 basehttp 17096 14400 "GET /product/1/ HTTP/1.1" 200 393
WARNING 2023-09-12 16:41:10,724 log 17096 14400 Not Found: /media/product_image/19655-091602-ae5051e1d3c5550027601cacf4ca7bab.jpg
WARNING 2023-09-12 16:41:10,725 basehttp 17096 14400 "GET /media/product_image/19655-091602-ae5051e1d3c5550027601cacf4ca7bab.jpg HTTP/1.1" 404 4266
INFO 2023-09-12 16:41:12,594 basehttp 17096 14400 "GET /update_product/1/ HTTP/1.1" 200 1630
INFO 2023-09-16 14:07:42,509 autoreload 7084 21888 Watching for file changes with StatReloader
INFO 2023-09-16 21:23:02,914 autoreload 24544 4960 Watching for file changes with StatReloader
INFO 2023-09-16 21:25:15,721 autoreload 12964 14288 Watching for file changes with StatReloader
INFO 2023-09-16 21:25:17,987 basehttp 12964 15256 "GET / HTTP/1.1" 200 271
WARNING 2023-09-16 21:25:18,129 log 12964 15256 Not Found: /favicon.ico
WARNING 2023-09-16 21:25:18,130 basehttp 12964 15256 "GET /favicon.ico HTTP/1.1" 404 3957
INFO 2023-09-16 21:25:25,441 basehttp 12964 15256 "GET /admin/ HTTP/1.1" 302 0
INFO 2023-09-16 21:25:25,467 basehttp 12964 15256 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3228
INFO 2023-09-16 21:25:25,496 basehttp 12964 22548 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2023-09-16 21:25:25,674 basehttp 12964 15256 "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
INFO 2023-09-16 21:25:25,678 basehttp 12964 23408 "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 62440
INFO 2023-09-16 21:25:25,678 basehttp 12964 25428 "GET /static/jazzmin/css/main.css HTTP/1.1" 200 16969
INFO 2023-09-16 21:25:25,686 basehttp 12964 15256 "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 200 2637
INFO 2023-09-16 21:25:25,692 basehttp 12964 9012 "GET /static/vendor/bootswatch/darkly/bootstrap.min.css HTTP/1.1" 200 164202
INFO 2023-09-16 21:25:25,694 basehttp 12964 22548 "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 200 44244
INFO 2023-09-16 21:25:25,728 basehttp 12964 24164 "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 200 1382975
INFO 2023-09-16 21:25:25,805 basehttp 12964 24164 "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
INFO 2023-09-17 07:50:48,421 autoreload 14740 10504 Watching for file changes with StatReloader
INFO 2023-09-17 07:50:51,007 basehttp 14740 25500 "GET / HTTP/1.1" 200 271
